# polynesian data: bloomfield 1933
gloss	tongien	samoan	raroton	hawai
interdit	tapu	tapu	tapu	kapu
nombril	pito		pito	piko
souffler	puhi	feula	puQi	puhi
c·t ̣	tafa-Qaki	tafa	taQa	kaha
crotte	taQe	tae	tae	kae
homme	taNata	taNata	taNata	kanaka
mer	tahi	tai	tai	kai
fort	malohi	malosi	kaQa	Qaha
ṿiter	kalo	Qalo	karo	Qalo
racine	aka	aQa	aka	aQa
fiel	Qahu	au	au	au
tⓒte	Qulu	ulu	uru	poQo
igname	Qufi	ufi	uQi	uhi
feu	afi	afi	aQi	ahi
quatre	faa	faa	Qaa	haa
poulpe	feke	feQe	Qeke	heQe
poisson	ika	iQa	ika	iQa
nez	ihu	isu	putaNio	ihu
rosẹ	hau	sau	Qau	hau
faire du feu 	tafuafi	siQa	Qika	hiQa
queue	hiku	siQu	Qiku	hiQu
en haut	hake	aQe	ake	aQe
pṇṭrer	huu	ulu	uru	komo
branche	maNa	maNa	maNa	mana
rṣistant	maQu	mau	mau	mau
ferment ̣	maa	mala	mara	mala
se calmer	naQa	faQaNa	maninia	naa
demeurer	nofo	nofo	noQo	noho
vague	Nalu	Nalu	Naru	nalu
bouche	Nutu	Nutu	Nutu	nuku
bateau	vaka	vaQa	vaka	waQa
jambe	vaQe	vae	vae	wae
testicules	laho	laso	raQo	laho
gaule ˇ fruit	lohu	lou	rou	lou
entendre	oNo	loNo	roNo	lono
deux	ua	lua	rua	lua
